WeekDay,RightLeft,Corridor,FromHour,ToHour,Holidays,Week1OfMonth,Week2OfMonth,Week3OfMonth,Week4OfMonth,Week5OfMonth,LF_FADD,LF_TOADD,RT_TOADD,RT_FADD,STREETNAME,ZIP_CODE,NHOOD
Wed,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,600,698,699,601,10TH AVE,94118,Inner Richmond
Mon,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,600,698,699,601,10TH AVE,94118,Inner Richmond
Wed,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,700,798,799,701,10TH AVE,94118,Inner Richmond
Mon,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,700,798,799,701,10TH AVE,94118,Inner Richmond
Mon,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1200,1298,1299,1201,10TH AVE,94122,Inner Sunset
Wed,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1200,1298,1299,1201,10TH AVE,94122,Inner Sunset
Mon,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1300,1398,1399,1301,10TH AVE,94122,Inner Sunset
Wed,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1300,1398,1399,1301,10TH AVE,94122,Inner Sunset
Mon,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1400,1498,1499,1401,10TH AVE,94122,Inner Sunset
Wed,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1400,1498,1499,1401,10TH AVE,94122,Inner Sunset
Tues,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1500,1598,1599,1501,10TH AVE,94122,Inner Sunset
Fri,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1500,1598,1599,1501,10TH AVE,94122,Inner Sunset
Tues,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1600,1698,1699,1601,10TH AVE,94122,Inner Sunset
Fri,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1600,1698,1699,1601,10TH AVE,94122,Inner Sunset
Tues,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1700,1798,1799,1701,10TH AVE,94122,Inner Sunset
Fri,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1700,1798,1799,1701,10TH AVE,94122,Inner Sunset
Tues,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1800,1898,1899,1801,10TH AVE,94122,Inner Sunset
Fri,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1800,1898,1899,1801,10TH AVE,94122,Inner Sunset
Tues,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1900,1998,1999,1901,10TH AVE,94116,Golden Gate Heights
Fri,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,1900,1998,1999,1901,10TH AVE,94116,Golden Gate Heights
Tues,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,2000,2098,2099,2001,10TH AVE,94116,Golden Gate Heights
Fri,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,2000,2098,2099,2001,10TH AVE,94116,Golden Gate Heights
Tues,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,2100,2198,2199,2101,10TH AVE,94116,Golden Gate Heights
Fri,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,2100,2198,2199,2101,10TH AVE,94116,Golden Gate Heights
Mon,L,10th Ave,09:00,11:00,No,No,Yes,No,Yes,No,2,98,99,1,10TH AVE,94118,Lake
Mon,R,10th Ave,09:00,11:00,No,No,Yes,No,Yes,No,2,98,99,1,10TH AVE,94118,Lake
Wed,R,10th Ave,09:00,11:00,No,No,Yes,No,Yes,No,100,198,199,101,10TH AVE,94118,Lake
Mon,L,10th Ave,09:00,11:00,No,No,Yes,No,Yes,No,100,198,199,101,10TH AVE,94118,Lake
Mon,L,10th Ave,07:00,09:00,No,Yes,No,Yes,No,No,200,298,299,201,10TH AVE,94118,Inner Richmond
Wed,R,10th Ave,07:00,09:00,No,Yes,No,Yes,No,No,200,298,299,201,10TH AVE,94118,Inner Richmond
Mon,L,10th Ave,07:00,09:00,No,Yes,No,Yes,No,No,300,398,399,301,10TH AVE,94118,Inner Richmond
Wed,R,10th Ave,07:00,09:00,No,Yes,No,Yes,No,No,300,398,399,301,10TH AVE,94118,Inner Richmond
Wed,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,400,498,499,401,10TH AVE,94118,Inner Richmond
Mon,L,10th Ave,07:00,09:00,No,Yes,No,Yes,No,No,400,498,499,401,10TH AVE,94118,Inner Richmond
Wed,R,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,500,598,599,501,10TH AVE,94118,Inner Richmond
Mon,L,10th Ave,08:00,10:00,No,Yes,No,Yes,No,No,500,598,599,501,10TH AVE,94118,Inner Richmond
Tues,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Wed,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Thu,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Mon,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Fri,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Mon,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Tues,R,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Wed,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Thu,R,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Fri,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,1,13,18,2,10TH ST,94103,South of Market
Tues,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Wed,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Thu,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Mon,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Fri,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Mon,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Tues,R,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Wed,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Thu,R,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Fri,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,15,41,54,20,10TH ST,94103,South of Market
Mon,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Fri,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Tues,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Thu,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Wed,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Mon,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Tues,R,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Wed,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Thu,R,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Fri,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,43,69,74,56,10TH ST,94103,South of Market
Mon,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Fri,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Tues,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Thu,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Wed,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Mon,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Tues,R,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Wed,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Thu,R,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Fri,L,10th St,02:00,06:00,No,Yes,Yes,Yes,Yes,Yes,71,99,98,76,10TH ST,94103,South of Market
Mon,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,101,133,132,100,10TH ST,94103,South of Market
Fri,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,101,133,132,100,10TH ST,94103,South of Market
Tues,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,101,133,132,100,10TH ST,94103,South of Market
Thu,L,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,101,133,132,100,10TH ST,94103,South of Market
Wed,R,10th St,00:00,06:00,No,Yes,Yes,Yes,Yes,Yes,101,133,132,100,10TH ST,94103,South of Market
